_id,id,contact.name,contact.email,account.balance,charges
5fc80db087b3f620448d3392,m03sw3,Fancy Lynnett,FancyLynnett388@email.com,656.35,"[{""id"":""gj5mq9"",""amount"":628.13,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d3393,yxpx4a,Marla Dolores,MarlaDolores78@email.com,209.66,"[{""id"":""3pcvtm"",""amount"":274.58,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""},{""id"":""5spemj"",""amount"":274.59,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d3394,cjrs8a,Elnora Tiffanie,ElnoraTiffanie356@email.com,2.27,"[{""id"":""yu9nh6"",""amount"":489.91,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d3395,sjk084,Colene Jeniece,ColeneJeniece98@email.com,836.52,"[{""id"":""gfm7in"",""amount"":236.78,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d3396,c95lle,Reina Norri,ReinaNorri356@email.com,143.96,"[{""id"":""han6xq"",""amount"":570.96,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d3397,hqb99r,Gaye Natka,GayeNatka230@email.com,13.38,"[{""id"":""ihmwqq"",""amount"":341.33,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d3399,w5nc3m,Fay Billie,FayBillie269@email.com,1236.83,"[{""id"":""lri4zb"",""amount"":689.45,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d339a,01mk2s,Chastity Rafaelia,ChastityRafaelia295@email.com,16.87,"[{""id"":""6w4bxa"",""amount"":233,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d339b,17wjd7,Lurline Kathleen,LurlineKathleen236@email.com,170.74,"[{""id"":""yfrljy"",""amount"":262.47,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d339c,tpnutt,Brear Merrili,BrearMerrili365@email.com,799.41,"[{""id"":""5pk0c9"",""amount"":518.43,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5fc80db087b3f620448d339d,pnxyjs,Bridgette Lyndsay,BridgetteLyndsay175@email.com,478.61,"[{""id"":""byrlo5"",""amount"":480.47,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
