id,contact.name,contact.email,account.balance,charges
wiumfo,Vitia Minnie,VitiaMinnie298@email.com,500,"[{""id"":""3608t0"",""amount"":254.03,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
m03sw3,Fancy Lynnett,FancyLynnett388@email.com,656.35,"[{""id"":""gj5mq9"",""amount"":628.13,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
yxpx4a,Marla Dolores,MarlaDolores78@email.com,209.66,"[{""id"":""3pcvtm"",""amount"":274.58,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""},{""id"":""5spemj"",""amount"":274.59,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
cjrs8a,Elnora Tiffanie,ElnoraTiffanie356@email.com,2.27,"[{""id"":""yu9nh6"",""amount"":489.91,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
sjk084,Colene Jeniece,ColeneJeniece98@email.com,836.52,"[{""id"":""gfm7in"",""amount"":236.78,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
c95lle,Reina Norri,ReinaNorri356@email.com,143.96,"[{""id"":""han6xq"",""amount"":570.96,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
hqb99r,Gaye Natka,GayeNatka230@email.com,13.38,"[{""id"":""ihmwqq"",""amount"":341.33,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
27t06g,Helenka Stacy,HelenkaStacy329@email.com,9.63,"[{""id"":""vmz3ur"",""amount"":554.26,""datetime"":""2020-11-30T00:00:00.000Z"",""status"":""New""}]"
w5nc3m,Fay Billie,FayBillie269@email.com,1236.83,"[{""id"":""lri4zb"",""amount"":689.45,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
01mk2s,Chastity Rafaelia,ChastityRafaelia295@email.com,16.87,"[{""id"":""6w4bxa"",""amount"":233,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
17wjd7,Lurline Kathleen,LurlineKathleen236@email.com,170.74,"[{""id"":""yfrljy"",""amount"":262.47,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
tpnutt,Brear Merrili,BrearMerrili365@email.com,799.41,"[{""id"":""5pk0c9"",""amount"":518.43,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
pnxyjs,Bridgette Lyndsay,BridgetteLyndsay175@email.com,478.61,"[{""id"":""byrlo5"",""amount"":480.47,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
wt2d8j,Violet Berty,VioletBerty376@email.com,145.84,"[{""id"":""7c5rnp"",""amount"":533.07,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
gfsx75,Blancha Coretta,BlanchaCoretta263@email.com,642.43,"[{""id"":""dcdow1"",""amount"":513.77,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
f054j2,Dinnie Cindy,DinnieCindy76@email.com,66.31,"[{""id"":""qcu5j7"",""amount"":287.15,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
84u6ea,Bamby Valenka,BambyValenka222@email.com,337.63,"[{""id"":""1n5wah"",""amount"":300.6,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
zsp59o,Kala Bobbette,KalaBobbette163@email.com,11.74,"[{""id"":""83bxbn"",""amount"":447,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
3t7id8,Evangeline Steffane,EvangelineSteffane293@email.com,-184.63,"[{""id"":""mcl62l"",""amount"":544.98,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
v5sl5g,Bobby Flossie,BobbyFlossie150@email.com,1357.86,"[{""id"":""oadwra"",""amount"":467.77,""datetime"":""2020-11-13T00:00:00.000Z"",""status"":""New""},{""id"":""kyrtw6"",""amount"":467.77,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
htigeq,Sonny Lucretia,SonnyLucretia115@email.com,174.29,"[{""id"":""9lxcng"",""amount"":202.72,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ecyb67,Juline Genia,JulineGenia241@email.com,26.56,"[{""id"":""t0fo2i"",""amount"":257.92,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
7fjxt0,Wynny Philippa,WynnyPhilippa408@email.com,10.94,"[{""id"":""1lqcvh"",""amount"":556.49,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
qx58j4,Sallee Justinn,SalleeJustinn181@email.com,231.21,"[{""id"":""2e3jzc"",""amount"":237.53,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
rrkagj,Elysha Phil,ElyshaPhil148@email.com,185.9,"[{""id"":""q3594x"",""amount"":253.43,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
79x0l1,Yvette Bridget,YvetteBridget323@email.com,3.14,"[{""id"":""qjx4e2"",""amount"":672.63,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""},{""id"":""5axj78"",""amount"":672.63,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
sb8hxf,Georgie Peggie,GeorgiePeggie297@email.com,671.2,"[{""id"":""t4885x"",""amount"":482.03,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ejhcay,Cate Lorri,CateLorri297@email.com,669.95,"[{""id"":""2f1boe"",""amount"":267.68,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
j6i3pl,Maible Crysta,MaibleCrysta166@email.com,556.4,"[{""id"":""l7ug9x"",""amount"":600.61,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ei1jv4,Anjela Arleyne,AnjelaArleyne343@email.com,32.76,"[{""id"":""3xjz9m"",""amount"":440.93,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
g46zdx,Jessalyn Deeanne,JessalynDeeanne388@email.com,90.53,"[{""id"":""b2dy2k"",""amount"":196.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
7mvgsc,Carlye Elnora,CarlyeElnora197@email.com,3602.75,"[{""id"":""eatyun"",""amount"":383.09,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
cxady1,Doro Kellia,DoroKellia175@email.com,464.81,"[{""id"":""egckud"",""amount"":464,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
vicw5b,Cori Bathsheba,CoriBathsheba394@email.com,1145.24,"[{""id"":""p9xym3"",""amount"":397.5,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
apep9i,Crissy Evelyn,CrissyEvelyn333@email.com,125.68,"[{""id"":""dyhnn5"",""amount"":575,""datetime"":""2020-11-16T00:00:00.000Z"",""status"":""New""}]"
m7nfo8,Heidie Bonnibelle,HeidieBonnibelle175@email.com,289.54,"[{""id"":""mz4ryc"",""amount"":309.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
fx1q4o,Benita Ophelia,BenitaOphelia145@email.com,15.43,"[{""id"":""euaxr9"",""amount"":360.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
pl9ll2,Hannie Ellen,HannieEllen297@email.com,-2.51,"[{""id"":""xd5ncw"",""amount"":197.25,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
3d7j16,Marcella Lory,MarcellaLory406@email.com,9841.04,"[{""id"":""568isq"",""amount"":534.89,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
zkalv2,Carlota Fern,CarlotaFern407@email.com,2817.83,"[{""id"":""3tmxgm"",""amount"":680.72,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
dlplzp,Devin Korney,DevinKorney338@email.com,409.8,"[{""id"":""z2jald"",""amount"":210,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
d3pjaw,Laurella Doretta,LaurellaDoretta232@email.com,63.75,"[{""id"":""4hx4w9"",""amount"":390.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
eo3vnb,Gwyn Amelie,GwynAmelie192@email.com,24.81,"[{""id"":""87oexp"",""amount"":505,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""},{""id"":""j0aq9a"",""amount"":505,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
9dkfyp,Haley Adore,HaleyAdore402@email.com,2125.23,"[{""id"":""vx4l48"",""amount"":302.18,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
vw3p9p,Coraline Rozanna,CoralineRozanna76@email.com,30.01,"[{""id"":""8c63kp"",""amount"":429.06,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
3cfmvs,Mariann Nolana,MariannNolana165@email.com,400.64,"[{""id"":""opvmtv"",""amount"":115,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
jgtpwe,Gusty Christabel,GustyChristabel293@email.com,441.26,"[{""id"":""o5ufbh"",""amount"":275.25,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
cdk8jd,Peri Mirabella,PeriMirabella376@email.com,105.15,"[{""id"":""jre8x1"",""amount"":459,""datetime"":""2020-11-30T00:00:00.000Z"",""status"":""New""}]"
bj53he,Fredra Ethyl,FredraEthyl112@email.com,256.94,"[{""id"":""h0etee"",""amount"":749.7,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ieih37,Tabatha Reena,TabathaReena168@email.com,3986.29,"[{""id"":""1rovb0"",""amount"":164.75,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
sjdc01,Barbara-anne Marcia,Barbara-anneMarcia321@email.com,1.75,"[{""id"":""qwnwhf"",""amount"":621.87,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ifp4c7,Vida Tiffani,VidaTiffani168@email.com,2541.4,"[{""id"":""oi344k"",""amount"":653.97,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
tb1q5s,Gretal Winnie,GretalWinnie170@email.com,-164.98,"[{""id"":""k4wxgu"",""amount"":357.99,""datetime"":""2020-11-30T00:00:00.000Z"",""status"":""New""},{""id"":""ed5y4z"",""amount"":358,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
2vr5hc,Darbie Charmine,DarbieCharmine410@email.com,128.36,"[{""id"":""npv536"",""amount"":443.82,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
h7ow0i,Dorette Erminie,DoretteErminie344@email.com,127.01,"[{""id"":""o4ad19"",""amount"":315.82,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
